,MedianIncome,ZipCode
0,81671.0,10001
1,33218.0,10002
2,92540.0,10003
3,129313.0,10004
4,124670.0,10005
5,119274.0,10006
6,216037.0,10007
7,59929.0,10009
8,97955.0,10010
9,104238.0,10011
10,86594.0,10012
11,83725.0,10013
12,108483.0,10014
13,,10015
14,105324.0,10016
15,100652.0,10017
16,104635.0,10018
17,84424.0,10019
18,,10020
19,107907.0,10021
20,109019.0,10022
21,103534.0,10023
22,109956.0,10024
23,68516.0,10025
24,43107.0,10026
25,37872.0,10027
26,104638.0,10028
27,31888.0,10029
28,31925.0,10030
29,37655.0,10031
30,34568.0,10032
31,41556.0,10033
32,41171.0,10034
33,24533.0,10035
34,66599.0,10036
35,37341.0,10037
36,66074.0,10038
37,33595.0,10039
38,42721.0,10040
39,,10041
40,83066.0,10044
41,,10045
42,,10048
43,,10055
44,,10060
45,115519.0,10065
46,170630.0,10069
47,102941.0,10075
48,,10090
49,,10095
50,,10098
51,,10099
52,,10103
53,,10104
54,,10105
55,,10106
56,,10107
57,,10110
58,,10111
59,,10112
60,,10115
61,,10118
62,,10119
63,,10120
64,,10121
65,,10122
66,,10123
67,96296.0,10128
68,,10151
69,,10152
70,,10153
71,,10154
72,,10155
73,,10158
74,,10161
75,168667.0,10162
76,,10165
77,,10166
78,,10167
79,,10168
80,,10169
81,,10170
82,,10171
83,,10172
84,,10173
85,,10174
86,,10175
87,,10176
88,,10177
89,,10178
90,,10199
91,,10200
92,,10270
93,,10271
94,,10278
95,,10279
96,129574.0,10280
97,,10281
98,230952.0,10282
99,56848.0,10301
100,56841.0,10302
101,51537.0,10303
102,53168.0,10304
103,70758.0,10305
104,75807.0,10306
105,86457.0,10307
106,88075.0,10308
107,86297.0,10309
108,61925.0,10310
109,,10311
110,85324.0,10312
111,77242.0,10314
112,26754.0,10451
113,25979.0,10452
114,25470.0,10453
115,20232.0,10454
116,22609.0,10455
117,23452.0,10456
118,24949.0,10457
119,24618.0,10458
120,24461.0,10459
121,22307.0,10460
122,52347.0,10461
123,45864.0,10462
124,54258.0,10463
125,70078.0,10464
126,65450.0,10465
127,44012.0,10466
128,36048.0,10467
129,33776.0,10468
130,57776.0,10469
131,58600.0,10470
132,71798.0,10471
133,30288.0,10472
134,35866.0,10473
135,25676.0,10474
136,43629.0,10475
137,143529.0,10501
138,135139.0,10502
139,182292.0,10504
140,167885.0,10505
141,180823.0,10506
142,70557.0,10507
143,90437.0,10509
144,144414.0,10510
145,89107.0,10511
146,87802.0,10512
147,202414.0,10514
148,81442.0,10516
149,192045.0,10518
150,102807.0,10520
151,105000.0,10522
152,81667.0,10523
153,114760.0,10524
154,101750.0,10526
155,194872.0,10527
156,99888.0,10528
157,92923.0,10530
158,110484.0,10532
159,131522.0,10533
160,90500.0,10535
161,153750.0,10536
162,81259.0,10537
163,160964.0,10538
164,106890.0,10541
165,87316.0,10543
166,116726.0,10546
167,81820.0,10547
168,93000.0,10548
169,81839.0,10549
170,39954.0,10550
171,64001.0,10552
172,58514.0,10553
173,127604.0,10560
174,74896.0,10562
175,58226.0,10566
176,105199.0,10567
177,123778.0,10570
178,66629.0,10573
179,154643.0,10576
180,228487.0,10577
181,130260.0,10578
182,102188.0,10579
183,153640.0,10580
184,168571.0,10583
185,71686.0,10588
186,98462.0,10589
187,126012.0,10590
188,80814.0,10591
189,114286.0,10594
190,107708.0,10595
191,189737.0,10597
192,106576.0,10598
193,67754.0,10601
194,91903.0,10603
195,83842.0,10604
196,108047.0,10605
197,68368.0,10606
198,132857.0,10607
199,43767.0,10701
200,,10702
201,57116.0,10703
202,67091.0,10704
203,47358.0,10705
204,125960.0,10706
205,94897.0,10707
206,95815.0,10708
207,92098.0,10709
208,76526.0,10710
209,54504.0,10801
210,140000.0,10803
211,157950.0,10804
212,55639.0,10805
213,85147.0,10901
214,,10911
215,122857.0,10913
216,103583.0,10916
217,72216.0,10917
218,87114.0,10918
219,107500.0,10919
220,94526.0,10920
221,70975.0,10921
222,88047.0,10923
223,84661.0,10924
224,66888.0,10925
225,75906.0,10926
226,55556.0,10927
227,66493.0,10928
228,125356.0,10930
229,78750.0,10931
230,61146.0,10940
231,66111.0,10941
232,74681.0,10950
233,53344.0,10952
234,91302.0,10954
235,119764.0,10956
236,105845.0,10958
237,78750.0,10960
238,109786.0,10962
239,74583.0,10963
240,94750.0,10964
241,94271.0,10965
242,91343.0,10968
243,79643.0,10969
244,74397.0,10970
245,83636.0,10973
246,87241.0,10974
247,58077.0,10975
248,40675.0,10976
249,60549.0,10977
250,94709.0,10980
251,126875.0,10983
252,112016.0,10984
253,,10985
254,106932.0,10986
255,100369.0,10987
256,100982.0,10989
257,84110.0,10990
258,91083.0,10992
259,67750.0,10993
260,129519.0,10994
261,98555.0,10996
262,101121.0,10998
263,101634.0,11001
264,85672.0,11003
265,81709.0,11004
266,64300.0,11005
267,87644.0,11010
268,128309.0,11020
269,93258.0,11021
270,106729.0,11023
271,97383.0,11024
272,172266.0,11030
273,101434.0,11040
274,,11042
275,105828.0,11050
276,48538.0,11096
277,47142.0,11101
278,49924.0,11102
279,55129.0,11103
280,56059.0,11104
281,57525.0,11105
282,48720.0,11106
283,125871.0,11109
284,95369.0,11201
285,48400.0,11203
286,45472.0,11204
287,44688.0,11205
288,28559.0,11206
289,32945.0,11207
290,35079.0,11208
291,58261.0,11209
292,55429.0,11210
293,46848.0,11211
294,28348.0,11212
295,34794.0,11213
296,43398.0,11214
297,95654.0,11215
298,43996.0,11216
299,81862.0,11217
300,52445.0,11218
301,34316.0,11219
302,37580.0,11220
303,39178.0,11221
304,63739.0,11222
305,41328.0,11223
306,27481.0,11224
307,42922.0,11225
308,40734.0,11226
309,61893.0,11228
310,51725.0,11229
311,42170.0,11230
312,78174.0,11231
313,43595.0,11232
314,34492.0,11233
315,68431.0,11234
316,41639.0,11235
317,61061.0,11236
318,40372.0,11237
319,65315.0,11238
320,26275.0,11239
321,,11240
322,,11241
323,,11242
324,,11243
325,,11249
326,,11252
327,,11256
328,,11351
329,46566.0,11354
330,41884.0,11355
331,58465.0,11356
332,71978.0,11357
333,65722.0,11358
334,,11359
335,76183.0,11360
336,75335.0,11361
337,82332.0,11362
338,90799.0,11363
339,72909.0,11364
340,55492.0,11365
341,71350.0,11366
342,56608.0,11367
343,45964.0,11368
344,53617.0,11369
345,52500.0,11370
346,,11371
347,48683.0,11372
348,47667.0,11373
349,52532.0,11374
350,72000.0,11375
351,49886.0,11377
352,57474.0,11378
353,69843.0,11379
354,50799.0,11385
355,83099.0,11411
356,70672.0,11412
357,78667.0,11413
358,66790.0,11414
359,63549.0,11415
360,56724.0,11416
361,62086.0,11417
362,60691.0,11418
363,56735.0,11419
364,59832.0,11420
365,60897.0,11421
366,84824.0,11422
367,60892.0,11423
368,82301.0,11426
369,70108.0,11427
370,69330.0,11428
371,68890.0,11429
372,,11430
373,50450.0,11432
374,42887.0,11433
375,59229.0,11434
376,53041.0,11435
377,62114.0,11436
378,79013.0,11501
379,90833.0,11507
380,109375.0,11509
381,98798.0,11510
382,84651.0,11514
383,85985.0,11516
384,92866.0,11518
385,67723.0,11520
386,135370.0,11530
387,67914.0,11542
388,146083.0,11545
389,98375.0,11548
390,53669.0,11550
391,98798.0,11552
392,75008.0,11553
393,92311.0,11554
394,,11556
395,115516.0,11557
396,77056.0,11558
397,112862.0,11559
398,99278.0,11560
399,91984.0,11561
400,90896.0,11563
401,117500.0,11565
402,126532.0,11566
403,192500.0,11568
404,104503.0,11570
405,96563.0,11572
406,66922.0,11575
407,150161.0,11576
408,112552.0,11577
409,100250.0,11579
410,88771.0,11580
411,98113.0,11581
412,87894.0,11590
413,112596.0,11596
414,140917.0,11598
415,,11599
416,39409.0,11691
417,43354.0,11692
418,50570.0,11693
419,76944.0,11694
420,87636.0,11697
421,69733.0,11701
422,94558.0,11702
423,90872.0,11703
424,80377.0,11704
425,88958.0,11705
426,75775.0,11706
427,,11708
428,98362.0,11709
429,103686.0,11710
430,75183.0,11713
431,87327.0,11714
432,102841.0,11715
433,90362.0,11716
434,69405.0,11717
435,115909.0,11718
436,82875.0,11719
437,94658.0,11720
438,94929.0,11721
439,67023.0,11722
440,139971.0,11724
441,112024.0,11725
442,73164.0,11726
443,76333.0,11727
444,80279.0,11729
445,105000.0,11730
446,106154.0,11731
447,96989.0,11732
448,141233.0,11733
449,91196.0,11735
450,,11737
451,91875.0,11738
452,94474.0,11740
453,94527.0,11741
454,86346.0,11742
455,118222.0,11743
456,97796.0,11746
457,112699.0,11747
458,90699.0,11749
459,95515.0,11751
460,94574.0,11752
461,153438.0,11753
462,98226.0,11754
463,94167.0,11755
464,99588.0,11756
465,82383.0,11757
466,104986.0,11758
467,112198.0,11762
468,88772.0,11763
469,113630.0,11764
470,165125.0,11765
471,104110.0,11766
472,109204.0,11767
473,120309.0,11768
474,92188.0,11769
475,106120.0,11771
